COD_MUNICIPIO;COD_UNICO_ENDERECO;ID_QUADRA;NOM_LOGRADOURO;NUM_ENDERECO;NOM_LOGRADOURO_ADJACENTE;DIM_TESTADA;DIM_PROFUNDIDADE
4104501;02.06.005.11.0013.040B;02.06.005.11.0013;RUA Nº 03;0;;10;40.00
4104501;02.06.005.11.0013.040A;02.06.005.11.0013;RUA Nº 03;0;;10;28.00
4104501;02.06.005.11.0013.0400;02.06.005.11.0013;RUA Nº 02;0;;10;459.33
4104501;02.06.005.11.0013.0300;02.06.005.11.0013;RUA Nº 02;1193;;10;150.60
4104501;02.06.005.11.0013.0200;02.06.005.11.0013;RUA Nº 02;0;;10;150.60
4104501;02.06.005.11.0013.0100;02.06.005.11.0013;RUA Nº 02;0;;10;331.91
4104501;02.06.005.11.0013.001B;02.06.005.11.0013;RUA Nº 03;S/N;;10;92.59
4104501;02.06.005.11.0013.001A;02.06.005.11.0013;RUA Nº 02;0;;10;116.83
4104501;02.06.005.11.0012.020A;02.06.005.11.0012;AVENIDA MARECHAL FLORIANO; ;;10;221.17
4104501;02.06.005.11.0012.0200;02.06.005.11.0012;AVENIDA MARECHAL FLORIANO;1921;;10;200.00
4104501;02.06.005.11.0012.0100;02.06.005.11.0012;AVENIDA MARECHAL FLORIANO;0;;10;491.32
4104501;02.06.005.11.0011.0700;02.06.005.11.0011;RUA Nº 06;331;;10;90.00
4104501;02.06.005.11.0011.0600;02.06.005.11.0011;AVENIDA MARECHAL FLORIANO;0;;10;90.00
4104501;02.06.005.11.0011.0500;02.06.005.11.0011;AVENIDA MARECHAL FLORIANO;0;;10;549.00
4104501;02.06.005.11.0011.0300;02.06.005.11.0011;AVENIDA MARECHAL FLORIANO;0;;10;386.63
4104501;02.06.005.11.0010.0100;02.06.005.11.0010;AVENIDA MARECHAL FLORIANO;0;;10;100.00
4104501;02.06.005.11.0010.001A;02.06.005.11.0010;AVENIDA MARECHAL FLORIANO; 1627;;10;86.50
4104501;02.06.005.11.0009.0800;02.06.005.11.0009;RUA Nº 08;S/N;;10;635.10
4104501;02.06.005.11.0009.0700;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;0;;10;80.00
4104501;02.06.005.11.0009.0600;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;0;;10;72.00
4104501;02.06.005.11.0009.0500;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;0;;10;80.00
4104501;02.06.005.11.0009.0400;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;0;;10;80.00
4104501;02.06.005.11.0009.0300;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;0;;10;88.00
4104501;02.06.005.11.0009.0200;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;260;;10;80.00
4104501;02.06.005.11.0009.0100;02.06.005.11.0009;AVENIDA MARECHAL FLORIANO;0;;10;607.00
4104501;02.06.005.11.0008.0300;02.06.005.11.0008;AVENIDA MARECHAL FLORIANO;0;;10;92.00
4104501;02.06.005.11.0008.020E;02.06.005.11.0008;AVENIDA MARECHAL FLORIANO;1221;;10;48.91
4104501;02.06.005.11.0008.020D;02.06.005.11.0008;AVENIDA MARECHAL FLORIANO; ;;10;60.00
4104501;02.06.005.11.0008.0200;02.06.005.11.0008;AVENIDA MARECHAL FLORIANO;1241;;10;134.97
4104501;02.06.005.11.0008.0100;02.06.005.11.0008;AVENIDA MARECHAL FLORIANO;0;;10;304.85
4104501;02.06.005.11.0007.0300;02.06.005.11.0007;AVENIDA MARECHAL FLORIANO;0;;10;206.10
4104501;02.06.005.11.0007.020A;02.06.005.11.0007;AVENIDA MARECHAL FLORIANO;0;;10;100.00
4104501;02.06.005.11.0007.0100;02.06.005.11.0007;AVENIDA MARECHAL FLORIANO;0;;10;225.00
4104501;02.06.005.11.0006.0300;02.06.005.11.0006;AVENIDA MARECHAL FLORIANO;0;;10;183.25
4104501;02.06.005.11.0006.020A;02.06.005.11.0006;AVENIDA MARECHAL FLORIANO; ;;10;50.00
4104501;02.06.005.11.0006.0200;02.06.005.11.0006;AVENIDA MARECHAL FLORIANO;0;;10;150.00
4104501;02.06.005.11.0006.010A;02.06.005.11.0006;AVENIDA MARECHAL FLORIANO;0;;10;80.00
4104501;02.06.005.11.0005.030A;02.06.005.11.0005;AVENIDA MARECHAL FLORIANO;0;;10;97.83
4104501;02.06.005.11.0005.0300;02.06.005.11.0005;AVENIDA MARECHAL FLORIANO;0;;10;195.67
4104501;02.06.005.11.0005.01CA;02.06.005.11.0005;RUA 1;0;;10;44.58
4104501;02.06.005.11.0005.010C;02.06.005.11.0005;AVENIDA MARECHAL FLORIANO;0;;10;241.75
4104501;02.06.005.11.0005.010A;02.06.005.11.0005;AVENIDA MARECHAL FLORIANO;0;;10;71.50
4104501;02.06.005.11.0005.002A;02.06.005.11.0005;AVENIDA MARECHAL FLORIANO;0;;10;92.40
4104501;02.06.005.11.0005.001B;02.06.005.11.0005;AVENIDA MARECHAL FLORIANO;0;;10;83.08
4104501;02.06.005.11.0004.03AA;02.06.005.11.0004;AVENIDA MARECHAL FLORIANO; ;;10;50.65
4104501;02.06.005.11.0004.0300;02.06.005.11.0004;AVENIDA MARECHAL FLORIANO;0;;10;26.43
4104501;02.06.005.11.0004.0200;02.06.005.11.0004;AVENIDA MARECHAL FLORIANO;0;;10;343.86
4104501;02.06.005.11.0004.010A;02.06.005.11.0004;AVENIDA MARECHAL FLORIANO;;;10;124.52
4104501;02.06.005.11.0004.0100;02.06.005.11.0004;AVENIDA MARECHAL FLORIANO;0;;10;242.20
4104501;02.06.005.11.0003.0300;02.06.005.11.0003;AVENIDA MARECHAL FLORIANO;1778;;10;235.75
4104501;02.06.005.11.0003.0200;02.06.005.11.0003;AVENIDA MARECHAL FLORIANO;0;;10;307.63
4104501;02.06.005.11.0003.002B;02.06.005.11.0003;AVENIDA MARECHAL FLORIANO; ;;10;235.25
4104501;02.06.005.11.0003.002A;02.06.005.11.0003;AVENIDA MARECHAL FLORIANO;0;;10;201.11
4104501;02.06.005.11.0002.040A;02.06.005.11.0002;AVENIDA MARECHAL FLORIANO;0;;10;124.00
4104501;02.06.005.11.0002.0400;02.06.005.11.0002;AVENIDA MARECHAL FLORIANO;0;;10;149.11
4104501;02.06.005.11.0002.0300;02.06.005.11.0002;AVENIDA MARECHAL FLORIANO;0;;10;168.95
4104501;02.06.005.11.0002.0200;02.06.005.11.0002;AVENIDA MARECHAL FLORIANO;0;;10;160.17
4104501;02.06.005.0.0014.001D;02.06.005.0.0014;SAO LUIZ;0;;10;100.00
4104501;02.06.005.0.0014.001C;02.06.005.0.0014;SAO LUIZ;0;;10;76.00
4104501;02.06.005.0.0014.001B;02.06.005.0.0014;SAO LUIZ;0;;10;76.00
4104501;02.06.005.0.0014.001A;02.06.005.0.0014;SAO LUIZ;0;;10;248.00
4104501;02.06.005.0.0012.0300;02.06.005.0.0012;SAO LUIZ;0;;10;97.17
4104501;02.06.005.0.0012.02AA;02.06.005.0.0012;SAO LUIZ;;;10;472.75
4104501;02.06.005.0.0011.0400;02.06.005.0.0011;SAO LUIZ;0;;10;30.00
4104501;02.06.005.0.0011.0200;02.06.005.0.0011;SAO LUIZ;1210;;10;103.50
4104501;02.06.005.0.0011.0100;02.06.005.0.0011;SAO LUIZ;1879;;10;218.20
4104501;02.06.005.0.0011.003A;02.06.005.0.0011;SAO LUIZ;0;;10;386.63
4104501;02.06.005.0.0009.1000;02.06.005.0.0009;SAO LUIZ;0;;10;127.00
4104501;02.06.005.0.0009.0900;02.06.005.0.0009;SAO LUIZ;0;;10;202.00
4104501;02.06.005.0.0008.0700;02.06.005.0.0008;SAO LUIZ;0;;10;60.00
4104501;02.06.005.0.0008.0600;02.06.005.0.0008;SAO LUIZ;0;;10;253.00
4104501;02.06.005.0.0008.0500;02.06.005.0.0008;SAO LUIZ;0;;10;176.00
4104501;02.06.005.0.0008.0400;02.06.005.0.0008;SAO LUIZ;525;;10;164.00
4104501;02.06.005.0.0008.020C;02.06.005.0.0008;SAO LUIZ;0;;10;123.12
4104501;02.06.005.0.0008.020B;02.06.005.0.0008;SAO LUIZ;S/N;;10;130.00
4104501;02.06.005.0.0008.020A;02.06.005.0.0008;SAO LUIZ;0;;10;80.00
4104501;02.06.005.0.0007.020C;02.06.005.0.0007;SAO LUIZ;0;;10;133.20
4104501;02.06.005.0.0007.020B;02.06.005.0.0007;SAO LUIZ;0;;10;133.20
4104501;02.06.005.0.0007.0200;02.06.005.0.0007;SAO LUIZ;0;;10;187.20
4104501;02.06.005.0.0006.0100;02.06.005.0.0006;SAO LUIZ;0;;10;228.17
4104501;02.06.005.0.0005.0100;02.06.005.0.0005;SAO LUIZ;0;;10;115.70
4104501;02.06.005.0.0003.0100;02.06.005.0.0003;SAO LUIZ;0;;10;161.92
4104501;02.06.005.0.0003.003A;02.06.005.0.0003;SAO LUIZ;0;;10;100.00
4104501;02.06.005.0.0002.010B;02.06.005.0.0002;SAO LUIZ;S/N;;10;56.96
4104501;02.06.005.0.0002.010A;02.06.005.0.0002;SAO LUIZ; ;;10;40.44
4104501;02.06.005.0.0001.0100;02.06.005.0.0001;SAO LUIZ;0;;10;968.77
4104501;01.06.004.1.CHAC.4700;01.06.004.1.CHAC;RUA TUPI;LIXO;;10;2480.00
4104501;01.06.004.1.CHAC.27AA;01.06.004.1.CHAC;RUA TERRITORIO DO ACRE;630;;10;55.22
4104501;01.06.004.1.CHAC.270A;01.06.004.1.CHAC;RUA TERRITORIO DO ACRE;676;;10;55.22
4104501;01.06.004.1.CHAC.2700;01.06.004.1.CHAC;RUA TERRITORIO DO ACRE;700;;10;1985.20
4104501;01.06.004.1.CHAC.2500;01.06.004.1.CHAC;RUA TERRITORIO DO ACRE;1018 ;;10;2500.00
4104501;01.06.004.1.CHAC.2324;01.06.004.1.CHAC;RUA OTILIA GUAITANELE;LIXO;;10;3000.00
4104501;01.06.004.1.075A.0700;01.06.004.1.075A;RUA RISSIERI DEMICHEI;65;;10;35.75
4104501;01.06.004.1.075A.0600;01.06.004.1.075A;RUA RISSIERI DEMICHEI;51;;10;35.75
4104501;01.06.004.1.075A.0500;01.06.004.1.075A;RUA RISSIERI DEMICHEI;39;;10;35.75
4104501;01.06.004.1.075A.0400;01.06.004.1.075A;RUA RISSIERI DEMICHEI;27;;10;35.75
4104501;01.06.004.1.075A.0200;01.06.004.1.075A;RUA RISSIERI DEMICHEI;77;;10;36.81
4104501;01.06.004.1.075A.010A;01.06.004.1.075A;RUA LERCY JOAO ROMAN;74;;10;39.59
4104501;01.06.004.1.075A.0103;01.06.004.1.075A;RUA LERCY JOAO ROMAN;88;;10;32.99
4104501;01.06.004.1.0075.1400;01.06.004.1.0075;RUA RISSIERI DEMICHEI;16;;10;35.63
4104501;01.06.004.1.0075.1300;01.06.004.1.0075;RUA RISSIERI DEMICHEI;30;;10;35.63
4104501;01.06.004.1.0075.1200;01.06.004.1.0075;RUA RISSIERI DEMICHEI;42;;10;35.63
4104501;01.06.004.1.0075.1100;01.06.004.1.0075;RUA RISSIERI DEMICHEI;58;;10;35.63
4104501;01.06.004.1.0075.1000;01.06.004.1.0075;RUA RISSIERI DEMICHEI;66;;10;35.63
4104501;01.06.004.1.0075.0800;01.06.004.1.0075;RUA TUPI;1145;;10;35.63
4104501;01.06.004.1.0075.0700;01.06.004.1.0075;RUA TUPI;1131;;10;35.63
4104501;01.06.004.1.0075.0600;01.06.004.1.0075;RUA TUPI;1123;;10;35.63
4104501;01.06.004.1.0075.0400;01.06.004.1.0075;RUA RISSIERI DEMICHEI;76;;10;36.68
4104501;01.06.004.1.0075.030A;01.06.004.1.0075;RUA DIONISIO WONS;1111;;10;34.25
4104501;01.06.004.1.0075.0300;01.06.004.1.0075;RUA TUPI;1167;;10;38.05
4104501;01.06.004.1.0075.0200;01.06.004.1.0075;RUA LERCY JOAO ROMAN;32;;10;36.71
4104501;01.06.004.1.0075.0105;01.06.004.1.0075;RUA LERCY JOAO ROMAN;16;;10;72.33
4104501;01.06.004.1.0073.0200;01.06.004.1.0073;TRAVESSA  PROJETADA;78;;10;69.78
4104501;01.06.004.1.0073.0100;01.06.004.1.0073;RUA ANTONIO LUIZ GIORDANI;321;;10;21.35
4104501;01.06.004.1.0072.0800;01.06.004.1.0072;RUA LERCY JOAO ROMAN;306;;10;21.35
4104501;01.06.004.1.0072.0700;01.06.004.1.0072;RUA LERCY JOAO ROMAN;294;;10;21.35
4104501;01.06.004.1.0072.0600;01.06.004.1.0072;RUA LERCY JOAO ROMAN;282;;10;21.35
4104501;01.06.004.1.0072.0500;01.06.004.1.0072;RUA LERCY JOAO ROMAN;270;;10;21.35
4104501;01.06.004.1.0072.0400;01.06.004.1.0072;RUA LERCY JOAO ROMAN;258;;10;21.35
